ioc_type,ioc_value,event_time,scanner_family,severity_score
sha256,74fc4dd4f6c13dfa9f01865549d5ea8f679e4451817dd73c4831843146e00e2a,2025-12-08 16:58:48,malwarebazaar,0.9000
sha256,23639854fe3670be010755514ab0cbe420ae48da8b13f8043f6ba176c6d62202,2025-12-09 08:25:16,malwarebazaar,0.9000
sha256,744d2a400217cb8db10c0164ee189fd7b7733d40ec58bf7e4e4ef9bd066c6514,2025-12-09 09:28:18,malwarebazaar,0.9000
sha256,ac2f4f8374959b0e15f5de755f0686b748a0ca6368b38aadfef4352666f0e883,2025-12-09 14:02:41,malwarebazaar,0.9000
sha256,16246bc6456c174b57caa496f69f354c84b28e231b821cc1cf30e2bcda2cc761,2025-12-10 07:20:55,malwarebazaar,0.9000
sha256,c8f042a07d0eea828c1fa43ac03f4519eda473447807d9b3dcd4b9d8f45745a6,2025-12-10 07:40:44,malwarebazaar,0.9000
sha256,83018cb8f2ee7ef80a1d1ad27459e98998e52d5ee148b816d0c3a44bdcabfc90,2025-12-10 07:59:55,malwarebazaar,0.9000
sha256,bdbc75ab154f31dee291571674100e90dd525bc16286a8adb0ae8c3004d233e3,2025-12-10 08:02:53,malwarebazaar,0.9000
sha256,b3e709b75da60b1314b709e64f62ddd1ed610a77cd7b5d4add893156c4176308,2025-12-10 08:20:33,malwarebazaar,0.9000
sha256,acf098d8c20fe81ae8e1375c1097b543f9bf8235d1d20821a7f3893fbcc99a26,2025-12-10 09:32:37,malwarebazaar,0.9000
sha256,83a66ebda837bfa52232a03128d32dc773f827fcf20c5696e54a6077293b8a41,2025-12-10 15:40:37,malwarebazaar,0.9000
sha256,c55cc3475b3d17bd08deb99faeac09bed2ea099145ad984c4b7b71e6e27b14eb,2025-12-10 19:40:12,malwarebazaar,0.9000
sha256,2d7a335c537345eca422f36ec34ab4a604748966dce388e522d0427d24cc0e8e,2025-12-10 19:40:49,malwarebazaar,0.9000
sha256,3fd361b04c435012af66e38eaac7dc279525fe9df3065214d7604845f4087714,2025-12-10 19:40:56,malwarebazaar,0.9000
sha256,b4e27780b02fa1244ec4a9ee9b5dd44c82e034068b2376d08553376a5ae2befb,2025-12-11 09:08:01,malwarebazaar,0.9000
