ioc_type,ioc_value,event_time,source_system,host_context_json,rule_context_json
sha256,74fc4dd4f6c13dfa9f01865549d5ea8f679e4451817dd73c4831843146e00e2a,2025-12-08 16:58:48,malwarebazaar,"{""criticality"": ""high"", ""environment"": ""external_feed"", ""host_id"": ""74fc4dd4f6c13dfa9f01865549d5ea8f679e4451817dd73c4831843146e00e2a"", ""host_type"": ""file""}","{""activitySignal"": 0.62, ""benignContext"": 0.02, ""enrichmentStrength"": 0.72, ""externalSourceSignal"": 0.86, ""heuristicNoise"": 0.04, ""indicatorStrength"": 0.94, ""label_basis"": ""provider_explicit_external"", ""providerConfidence"": 0.86, ""rule_id"": ""74fc4dd4f6c13dfa9f01865549d5ea8f679e4451817dd73c4831843146e00e2a"", ""rule_name"": ""AgentTesla"", ""scanner_family"": ""malwarebazaar"", ""sightingsCorroboration"": 0.58, ""sightingsCount"": 3, ""source"": ""malwarebazaar"", ""sourceName"": ""malwarebazaar"", ""sourceThreatSignal"": 0.84, ""source_trust"": 0.72, ""source_trust_class"": ""trusted_supervised""}"
sha256,23639854fe3670be010755514ab0cbe420ae48da8b13f8043f6ba176c6d62202,2025-12-09 08:25:16,malwarebazaar,"{""criticality"": ""high"", ""environment"": ""external_feed"", ""host_id"": ""23639854fe3670be010755514ab0cbe420ae48da8b13f8043f6ba176c6d62202"", ""host_type"": ""file""}","{""activitySignal"": 0.62, ""benignContext"": 0.02, ""enrichmentStrength"": 0.72, ""externalSourceSignal"": 0.86, ""heuristicNoise"": 0.04, ""indicatorStrength"": 0.94, ""label_basis"": ""provider_explicit_external"", ""providerConfidence"": 0.86, ""rule_id"": ""23639854fe3670be010755514ab0cbe420ae48da8b13f8043f6ba176c6d62202"", ""rule_name"": ""AgentTesla"", ""scanner_family"": ""malwarebazaar"", ""sightingsCorroboration"": 0.58, ""sightingsCount"": 3, ""source"": ""malwarebazaar"", ""sourceName"": ""malwarebazaar"", ""sourceThreatSignal"": 0.84, ""source_trust"": 0.72, ""source_trust_class"": ""trusted_supervised""}"
sha256,744d2a400217cb8db10c0164ee189fd7b7733d40ec58bf7e4e4ef9bd066c6514,2025-12-09 09:28:18,malwarebazaar,"{""criticality"": ""high"", ""environment"": ""external_feed"", ""host_id"": ""744d2a400217cb8db10c0164ee189fd7b7733d40ec58bf7e4e4ef9bd066c6514"", ""host_type"": ""file""}","{""activitySignal"": 0.62, ""benignContext"": 0.02, ""enrichmentStrength"": 0.72, ""externalSourceSignal"": 0.86, ""heuristicNoise"": 0.04, ""indicatorStrength"": 0.94, ""label_basis"": ""provider_explicit_external"", ""providerConfidence"": 0.86, ""rule_id"": ""744d2a400217cb8db10c0164ee189fd7b7733d40ec58bf7e4e4ef9bd066c6514"", ""rule_name"": ""AgentTesla"", ""scanner_family"": ""malwarebazaar"", ""sightingsCorroboration"": 0.58, ""sightingsCount"": 3, ""source"": ""malwarebazaar"", ""sourceName"": ""malwarebazaar"", ""sourceThreatSignal"": 0.84, ""source_trust"": 0.72, ""source_trust_class"": ""trusted_supervised""}"
sha256,ac2f4f8374959b0e15f5de755f0686b748a0ca6368b38aadfef4352666f0e883,2025-12-09 14:02:41,malwarebazaar,"{""criticality"": ""high"", ""environment"": ""external_feed"", ""host_id"": ""ac2f4f8374959b0e15f5de755f0686b748a0ca6368b38aadfef4352666f0e883"", ""host_type"": ""file""}","{""activitySignal"": 0.62, ""benignContext"": 0.02, ""enrichmentStrength"": 0.72, ""externalSourceSignal"": 0.86, ""heuristicNoise"": 0.04, ""indicatorStrength"": 0.94, ""label_basis"": ""provider_explicit_external"", ""providerConfidence"": 0.86, ""rule_id"": ""ac2f4f8374959b0e15f5de755f0686b748a0ca6368b38aadfef4352666f0e883"", ""rule_name"": ""AgentTesla"", ""scanner_family"": ""malwarebazaar"", ""sightingsCorroboration"": 0.58, ""sightingsCount"": 3, ""source"": ""malwarebazaar"", ""sourceName"": ""malwarebazaar"", ""sourceThreatSignal"": 0.84, ""source_trust"": 0.72, ""source_trust_class"": ""trusted_supervised""}"
sha256,16246bc6456c174b57caa496f69f354c84b28e231b821cc1cf30e2bcda2cc761,2025-12-10 07:20:55,malwarebazaar,"{""criticality"": ""high"", ""environment"": ""external_feed"", ""host_id"": ""16246bc6456c174b57caa496f69f354c84b28e231b821cc1cf30e2bcda2cc761"", ""host_type"": ""file""}","{""activitySignal"": 0.62, ""benignContext"": 0.02, ""enrichmentStrength"": 0.72, ""externalSourceSignal"": 0.86, ""heuristicNoise"": 0.04, ""indicatorStrength"": 0.94, ""label_basis"": ""provider_explicit_external"", ""providerConfidence"": 0.86, ""rule_id"": ""16246bc6456c174b57caa496f69f354c84b28e231b821cc1cf30e2bcda2cc761"", ""rule_name"": ""AgentTesla"", ""scanner_family"": ""malwarebazaar"", ""sightingsCorroboration"": 0.58, ""sightingsCount"": 3, ""source"": ""malwarebazaar"", ""sourceName"": ""malwarebazaar"", ""sourceThreatSignal"": 0.84, ""source_trust"": 0.72, ""source_trust_class"": ""trusted_supervised""}"
sha256,c8f042a07d0eea828c1fa43ac03f4519eda473447807d9b3dcd4b9d8f45745a6,2025-12-10 07:40:44,malwarebazaar,"{""criticality"": ""high"", ""environment"": ""external_feed"", ""host_id"": ""c8f042a07d0eea828c1fa43ac03f4519eda473447807d9b3dcd4b9d8f45745a6"", ""host_type"": ""file""}","{""activitySignal"": 0.62, ""benignContext"": 0.02, ""enrichmentStrength"": 0.72, ""externalSourceSignal"": 0.86, ""heuristicNoise"": 0.04, ""indicatorStrength"": 0.94, ""label_basis"": ""provider_explicit_external"", ""providerConfidence"": 0.86, ""rule_id"": ""c8f042a07d0eea828c1fa43ac03f4519eda473447807d9b3dcd4b9d8f45745a6"", ""rule_name"": ""AgentTesla"", ""scanner_family"": ""malwarebazaar"", ""sightingsCorroboration"": 0.58, ""sightingsCount"": 3, ""source"": ""malwarebazaar"", ""sourceName"": ""malwarebazaar"", ""sourceThreatSignal"": 0.84, ""source_trust"": 0.72, ""source_trust_class"": ""trusted_supervised""}"
sha256,83018cb8f2ee7ef80a1d1ad27459e98998e52d5ee148b816d0c3a44bdcabfc90,2025-12-10 07:59:55,malwarebazaar,"{""criticality"": ""high"", ""environment"": ""external_feed"", ""host_id"": ""83018cb8f2ee7ef80a1d1ad27459e98998e52d5ee148b816d0c3a44bdcabfc90"", ""host_type"": ""file""}","{""activitySignal"": 0.62, ""benignContext"": 0.02, ""enrichmentStrength"": 0.72, ""externalSourceSignal"": 0.86, ""heuristicNoise"": 0.04, ""indicatorStrength"": 0.94, ""label_basis"": ""provider_explicit_external"", ""providerConfidence"": 0.86, ""rule_id"": ""83018cb8f2ee7ef80a1d1ad27459e98998e52d5ee148b816d0c3a44bdcabfc90"", ""rule_name"": ""AgentTesla"", ""scanner_family"": ""malwarebazaar"", ""sightingsCorroboration"": 0.58, ""sightingsCount"": 3, ""source"": ""malwarebazaar"", ""sourceName"": ""malwarebazaar"", ""sourceThreatSignal"": 0.84, ""source_trust"": 0.72, ""source_trust_class"": ""trusted_supervised""}"
sha256,bdbc75ab154f31dee291571674100e90dd525bc16286a8adb0ae8c3004d233e3,2025-12-10 08:02:53,malwarebazaar,"{""criticality"": ""high"", ""environment"": ""external_feed"", ""host_id"": ""bdbc75ab154f31dee291571674100e90dd525bc16286a8adb0ae8c3004d233e3"", ""host_type"": ""file""}","{""activitySignal"": 0.62, ""benignContext"": 0.02, ""enrichmentStrength"": 0.72, ""externalSourceSignal"": 0.86, ""heuristicNoise"": 0.04, ""indicatorStrength"": 0.94, ""label_basis"": ""provider_explicit_external"", ""providerConfidence"": 0.86, ""rule_id"": ""bdbc75ab154f31dee291571674100e90dd525bc16286a8adb0ae8c3004d233e3"", ""rule_name"": ""AgentTesla"", ""scanner_family"": ""malwarebazaar"", ""sightingsCorroboration"": 0.58, ""sightingsCount"": 3, ""source"": ""malwarebazaar"", ""sourceName"": ""malwarebazaar"", ""sourceThreatSignal"": 0.84, ""source_trust"": 0.72, ""source_trust_class"": ""trusted_supervised""}"
sha256,b3e709b75da60b1314b709e64f62ddd1ed610a77cd7b5d4add893156c4176308,2025-12-10 08:20:33,malwarebazaar,"{""criticality"": ""high"", ""environment"": ""external_feed"", ""host_id"": ""b3e709b75da60b1314b709e64f62ddd1ed610a77cd7b5d4add893156c4176308"", ""host_type"": ""file""}","{""activitySignal"": 0.62, ""benignContext"": 0.02, ""enrichmentStrength"": 0.72, ""externalSourceSignal"": 0.86, ""heuristicNoise"": 0.04, ""indicatorStrength"": 0.94, ""label_basis"": ""provider_explicit_external"", ""providerConfidence"": 0.86, ""rule_id"": ""b3e709b75da60b1314b709e64f62ddd1ed610a77cd7b5d4add893156c4176308"", ""rule_name"": ""AgentTesla"", ""scanner_family"": ""malwarebazaar"", ""sightingsCorroboration"": 0.58, ""sightingsCount"": 3, ""source"": ""malwarebazaar"", ""sourceName"": ""malwarebazaar"", ""sourceThreatSignal"": 0.84, ""source_trust"": 0.72, ""source_trust_class"": ""trusted_supervised""}"
sha256,acf098d8c20fe81ae8e1375c1097b543f9bf8235d1d20821a7f3893fbcc99a26,2025-12-10 09:32:37,malwarebazaar,"{""criticality"": ""high"", ""environment"": ""external_feed"", ""host_id"": ""acf098d8c20fe81ae8e1375c1097b543f9bf8235d1d20821a7f3893fbcc99a26"", ""host_type"": ""file""}","{""activitySignal"": 0.62, ""benignContext"": 0.02, ""enrichmentStrength"": 0.72, ""externalSourceSignal"": 0.86, ""heuristicNoise"": 0.04, ""indicatorStrength"": 0.94, ""label_basis"": ""provider_explicit_external"", ""providerConfidence"": 0.86, ""rule_id"": ""acf098d8c20fe81ae8e1375c1097b543f9bf8235d1d20821a7f3893fbcc99a26"", ""rule_name"": ""AgentTesla"", ""scanner_family"": ""malwarebazaar"", ""sightingsCorroboration"": 0.58, ""sightingsCount"": 3, ""source"": ""malwarebazaar"", ""sourceName"": ""malwarebazaar"", ""sourceThreatSignal"": 0.84, ""source_trust"": 0.72, ""source_trust_class"": ""trusted_supervised""}"
sha256,83a66ebda837bfa52232a03128d32dc773f827fcf20c5696e54a6077293b8a41,2025-12-10 15:40:37,malwarebazaar,"{""criticality"": ""high"", ""environment"": ""external_feed"", ""host_id"": ""83a66ebda837bfa52232a03128d32dc773f827fcf20c5696e54a6077293b8a41"", ""host_type"": ""file""}","{""activitySignal"": 0.62, ""benignContext"": 0.02, ""enrichmentStrength"": 0.72, ""externalSourceSignal"": 0.86, ""heuristicNoise"": 0.04, ""indicatorStrength"": 0.94, ""label_basis"": ""provider_explicit_external"", ""providerConfidence"": 0.86, ""rule_id"": ""83a66ebda837bfa52232a03128d32dc773f827fcf20c5696e54a6077293b8a41"", ""rule_name"": ""AgentTesla"", ""scanner_family"": ""malwarebazaar"", ""sightingsCorroboration"": 0.58, ""sightingsCount"": 3, ""source"": ""malwarebazaar"", ""sourceName"": ""malwarebazaar"", ""sourceThreatSignal"": 0.84, ""source_trust"": 0.72, ""source_trust_class"": ""trusted_supervised""}"
sha256,c55cc3475b3d17bd08deb99faeac09bed2ea099145ad984c4b7b71e6e27b14eb,2025-12-10 19:40:12,malwarebazaar,"{""criticality"": ""high"", ""environment"": ""external_feed"", ""host_id"": ""c55cc3475b3d17bd08deb99faeac09bed2ea099145ad984c4b7b71e6e27b14eb"", ""host_type"": ""file""}","{""activitySignal"": 0.62, ""benignContext"": 0.02, ""enrichmentStrength"": 0.72, ""externalSourceSignal"": 0.86, ""heuristicNoise"": 0.04, ""indicatorStrength"": 0.94, ""label_basis"": ""provider_explicit_external"", ""providerConfidence"": 0.86, ""rule_id"": ""c55cc3475b3d17bd08deb99faeac09bed2ea099145ad984c4b7b71e6e27b14eb"", ""rule_name"": ""AgentTesla"", ""scanner_family"": ""malwarebazaar"", ""sightingsCorroboration"": 0.58, ""sightingsCount"": 3, ""source"": ""malwarebazaar"", ""sourceName"": ""malwarebazaar"", ""sourceThreatSignal"": 0.84, ""source_trust"": 0.72, ""source_trust_class"": ""trusted_supervised""}"
sha256,2d7a335c537345eca422f36ec34ab4a604748966dce388e522d0427d24cc0e8e,2025-12-10 19:40:49,malwarebazaar,"{""criticality"": ""high"", ""environment"": ""external_feed"", ""host_id"": ""2d7a335c537345eca422f36ec34ab4a604748966dce388e522d0427d24cc0e8e"", ""host_type"": ""file""}","{""activitySignal"": 0.62, ""benignContext"": 0.02, ""enrichmentStrength"": 0.72, ""externalSourceSignal"": 0.86, ""heuristicNoise"": 0.04, ""indicatorStrength"": 0.94, ""label_basis"": ""provider_explicit_external"", ""providerConfidence"": 0.86, ""rule_id"": ""2d7a335c537345eca422f36ec34ab4a604748966dce388e522d0427d24cc0e8e"", ""rule_name"": ""AgentTesla"", ""scanner_family"": ""malwarebazaar"", ""sightingsCorroboration"": 0.58, ""sightingsCount"": 3, ""source"": ""malwarebazaar"", ""sourceName"": ""malwarebazaar"", ""sourceThreatSignal"": 0.84, ""source_trust"": 0.72, ""source_trust_class"": ""trusted_supervised""}"
sha256,3fd361b04c435012af66e38eaac7dc279525fe9df3065214d7604845f4087714,2025-12-10 19:40:56,malwarebazaar,"{""criticality"": ""high"", ""environment"": ""external_feed"", ""host_id"": ""3fd361b04c435012af66e38eaac7dc279525fe9df3065214d7604845f4087714"", ""host_type"": ""file""}","{""activitySignal"": 0.62, ""benignContext"": 0.02, ""enrichmentStrength"": 0.72, ""externalSourceSignal"": 0.86, ""heuristicNoise"": 0.04, ""indicatorStrength"": 0.94, ""label_basis"": ""provider_explicit_external"", ""providerConfidence"": 0.86, ""rule_id"": ""3fd361b04c435012af66e38eaac7dc279525fe9df3065214d7604845f4087714"", ""rule_name"": ""AgentTesla"", ""scanner_family"": ""malwarebazaar"", ""sightingsCorroboration"": 0.58, ""sightingsCount"": 3, ""source"": ""malwarebazaar"", ""sourceName"": ""malwarebazaar"", ""sourceThreatSignal"": 0.84, ""source_trust"": 0.72, ""source_trust_class"": ""trusted_supervised""}"
sha256,b4e27780b02fa1244ec4a9ee9b5dd44c82e034068b2376d08553376a5ae2befb,2025-12-11 09:08:01,malwarebazaar,"{""criticality"": ""high"", ""environment"": ""external_feed"", ""host_id"": ""b4e27780b02fa1244ec4a9ee9b5dd44c82e034068b2376d08553376a5ae2befb"", ""host_type"": ""file""}","{""activitySignal"": 0.62, ""benignContext"": 0.02, ""enrichmentStrength"": 0.72, ""externalSourceSignal"": 0.86, ""heuristicNoise"": 0.04, ""indicatorStrength"": 0.94, ""label_basis"": ""provider_explicit_external"", ""providerConfidence"": 0.86, ""rule_id"": ""b4e27780b02fa1244ec4a9ee9b5dd44c82e034068b2376d08553376a5ae2befb"", ""rule_name"": ""AgentTesla"", ""scanner_family"": ""malwarebazaar"", ""sightingsCorroboration"": 0.58, ""sightingsCount"": 3, ""source"": ""malwarebazaar"", ""sourceName"": ""malwarebazaar"", ""sourceThreatSignal"": 0.84, ""source_trust"": 0.72, ""source_trust_class"": ""trusted_supervised""}"
